InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour
2018069907,"4/9/2018 11:08:47 PM","3504 ELEPHANT DR","          ",1684957.13,1148640.88,DISTURBANCE,,"10E ",Monday,23
2018069902,"4/9/2018 11:03:56 PM","N PROVIDENCE RD/NEBRASKA AVE","          ",1687656.75,1140783,"TRAFFIC STOP",2018003758,"20E ",Monday,23
2018069901,"4/9/2018 11:03:25 PM","3206 CLARK LN","          ",1700151.5,1139669.38,"TRAFFIC STOP",,"40W ",Monday,23
2018069896,"4/9/2018 10:51:08 PM","2520 BROADWAY BLUFFS DR","          ",1697145.13,1133876.63,"RECOVER PROPERTY",,"80N ",Monday,22
2018069894,"4/9/2018 10:48:43 PM","PARIS RD/CLARK LN","          ",1695012.63,1141191.13,"TRAFFIC STOP",,"40W ",Monday,22
2018069886,"4/9/2018 10:39:09 PM","CONNECTOR/CLARK LN","          ",1699592.25,1139802.25,"TRAFFIC STOP",,"40W ",Monday,22
2018069883,"4/9/2018 10:34:15 PM","1100-BLK PANNELL ST","          ",1690558.38,1139274.13,"CHECK THE WELFARE",,"20E ",Monday,22
2018069882,"4/9/2018 10:32:35 PM","E BROADWAY/SHORT ST","          ",1690370.5,1135371,"TRAFFIC STOP",,"70D ",Monday,22
2018069872,"4/9/2018 10:01:22 PM","N GARTH AVE/E WORLEY ST","          ",1686244.25,1137717.88,TRAFFIC,2018003756,"20W ",Monday,22
2018069871,"4/9/2018 9:59:58 PM","N HWY 63 NB/CONNECTOR SB","          ",1699230.88,1137642,"TRAFFIC STOP",,"80N ",Monday,21
2018069867,"4/9/2018 9:45:27 PM","2923-C LEEWAY DR","          ",1698917.88,1148202.63,DISTURBANCE,,"30N ",Monday,21
2018069862,"4/9/2018 9:40:42 PM","3412-A GRINDSTONE PKWY","          ",1698282.13,1120839.63,"FOUND PERSON",,"80S ",Monday,21
2018069860,"4/9/2018 9:37:40 PM","BLUE RIDGE RD/N PROVIDENCE RD","          ",1687776.5,1146967.13,"TRAFFIC STOP",,"10E ",Monday,21
2018069857,"4/9/2018 9:36:53 PM","BLUE RIDGE RD/RANGE LINE ST","          ",1689853.38,1146744.13,"TRAFFIC STOP",,"30S ",Monday,21
2018069853,"4/9/2018 9:29:59 PM","625-1507N S FOURTH ST","          ",1687655.88,1132994,DISTURBANCE,,"70  ",Monday,21
2018069844,"4/9/2018 9:11:04 PM","402 BURNSIDE DR","          ",1712468.63,1136875,"SUSPICIOUS INCIDENT",,"80N ",Monday,21
2018069843,"4/9/2018 9:10:15 PM","1308 FIELDCREST","          ",1676800.25,1130364,DISTURBANCE,,"50W ",Monday,21
2018069842,"4/9/2018 9:04:03 PM","S WEST BLVD/W STEWART RD","          ",1682226.63,1134203.75,"TRAFFIC STOP",,"50E ",Monday,21
2018069840,"4/9/2018 9:02:28 PM","1205-105 GRINDSTONE PKWY","          ",1690828.13,1121448.25,"KEEP THE PEACE",,"60E ",Monday,21
2018069830,"4/9/2018 8:53:39 PM","N HWY 63 NB/CONNECTOR NB","          ",1699327.88,1135439.5,"TRAFFIC STOP",,"80N ",Monday,20
2018069827,"4/9/2018 8:46:07 PM","RIPLEY ST/E WALNUT ST","          ",1692034.5,1135702.75,"LEAVING THE SCENE ACCIDENT",,"70  ",Monday,20
2018069822,"4/9/2018 8:38:47 PM","3905 CLARK LN","          ",1703456,1140107.88,DISTURBANCE,,"40E ",Monday,20
2018069807,"4/9/2018 7:57:28 PM","208 N OLD 63","          ",1693931.5,1136342.38,"911 CHECKS",,"80N ",Monday,19
2018069806,"4/9/2018 7:55:46 PM","1606-BLK COCOA CT","          ",1702953.25,1141406.13,"911 CHECKS",,"40E ",Monday,19
2018069801,"4/9/2018 7:53:57 PM","51-BLK CONLEY RD","          ",1699033.88,1134670.25,ACCIDENT,,"80N ",Monday,19
2018069799,"4/9/2018 7:49:44 PM","3401 LAKE FRONT CT","          ",1709380.88,1147316,DISTURBANCE,2018003751,"40E ",Monday,19
2018069798,"4/9/2018 7:47:55 PM","2001-1 E BROADWAY","          ",1694987,1134882.75,"SUSPICIOUS VEHICLE",,"80N ",Monday,19
2018069796,"4/9/2018 7:41:57 PM","506-4 S PROVIDENCE RD","          ",1687579.25,1133055.75,DISTURBANCE,2018003750,"60E ",Monday,19
2018069788,"4/9/2018 7:23:15 PM","3306-BLK JAMESDALE RD","          ",1700811.38,1152503.13,"911 CHECKS",,"30N ",Monday,19
2018069785,"4/9/2018 7:19:33 PM","1627 TIMBER CREEK DR","          ",1676015.5,1143015.5,"PARKING VIOLATION",,"10W ",Monday,19
2018069784,"4/9/2018 7:11:14 PM","3805 SNOW LEOPARD DR","          ",1685732,1149431.13,FRAUD,,"10E ",Monday,19
2018069781,"4/9/2018 7:08:26 PM","3104 BLUFF CREEK DR","          ",1697997.63,1122227.75,"911 CHECKS",,"80S ",Monday,19
2018069773,"4/9/2018 6:55:53 PM","1600 E BROADWAY","          ",1692801.13,1134744.75,"911 CHECKS",,"70  ",Monday,18
2018069771,"4/9/2018 6:52:58 PM","3206 ALSUP DR","          ",1673185.88,1129446.13,DISTURBANCE,2018003748,"50W ",Monday,18
2018069767,"4/9/2018 6:47:10 PM","902 CONLEY RD","          ",1699245.5,1138247.13,"LAW ALARM",,"80N ",Monday,18
2018069761,"4/9/2018 6:43:19 PM","1416 S OLD 63","          ",1694346.88,1128263.75,LARCENY,,"80S ",Monday,18
2018069760,"4/9/2018 6:42:05 PM","600-XYZ E WALNUT ST","          ",1688611,1135728.88,FRAUD,,"70D ",Monday,18
2018069754,"4/9/2018 6:36:51 PM","801 VANDIVER DR","          ",1689514.38,1142741.75,"TRAFFIC STOP",,"10E ",Monday,18
2018069751,"4/9/2018 6:34:09 PM","1295 I70 E","          ",1702018,1138998,"TRAFFIC HAZARD",,"40E ",Monday,18
2018069749,"4/9/2018 6:31:11 PM","1283 I70 E","          ",1696329,1140443,"911 CHECKS",,"40W ",Monday,18
2018069747,"4/9/2018 6:27:57 PM","1200 N SEVENTH ST","          ",1689061.25,1139719,"LEAVING THE SCENE ACCIDENT",2018003745,"20E ",Monday,18
2018069743,"4/9/2018 6:17:08 PM","S PROVIDENCE RD/MICK DEAVER DR","          ",1686494.13,1127572.25,"STALLED VEHICLE",,"60E ",Monday,18
2018069742,"4/9/2018 6:14:03 PM","N HWY 63 NB/CONLEY RD","          ",1699212.25,1137692.13,TRAFFIC,,"80N ",Monday,18
2018069739,"4/9/2018 6:12:48 PM","305 PARKADE BLVD","          ",1685409.13,1143665.75,BURGLARY,2018003754,"10E ",Monday,18
2018069738,"4/9/2018 6:10:37 PM","213-2 N ANN ST","          ",1693089.75,1136611.75,"ANIMAL COMPLAINT",,"70  ",Monday,18
2018069736,"4/9/2018 6:09:32 PM","3712 SANDMAN LN","          ",1687688.38,1119812.13,LARCENY,,"60E ",Monday,18
2018069728,"4/9/2018 6:00:24 PM","304-BLK CARIBOU DR","          ",1685772.88,1146665.25,"TRAFFIC HAZARD",,"10E ",Monday,18
2018069725,"4/9/2018 5:57:31 PM","S PROVIDENCE RD/E GREEN MEADOWS RD","          ",1687470.5,1122548.38,"TRAFFIC HAZARD",,"60E ",Monday,17
2018069724,"4/9/2018 5:56:33 PM","1201-A GRINDSTONE PKWY","          ",1690399.25,1121329.75,LARCENY,2018003741,"60E ",Monday,17
2018069722,"4/9/2018 5:54:13 PM","3208 LEMONE INDUSTRIAL BLVD","          ",1699816.88,1122831.5,"LAW ALARM",,"80S ",Monday,17
2018069719,"4/9/2018 5:46:26 PM","2400-A BERNADETTE DR","          ",1675190.75,1139969.13,LARCENY,2018003752,"10W ",Monday,17
2018069715,"4/9/2018 5:43:03 PM","220-A E BUSINESS LOOP 70","          ",1687517.63,1140034.38,TRESPASSING,,"20E ",Monday,17
2018069713,"4/9/2018 5:40:58 PM","5302 CURRITUCK LN","          ",1692167.63,1155432.25,"SUSPICIOUS INCIDENT",,"30N ",Monday,17
2018069711,"4/9/2018 5:36:34 PM","E BROADWAY/TRIMBLE RD","          ",1697394.13,1133705.38,"SUSPICIOUS PERSON",,"80S ",Monday,17
2018069706,"4/9/2018 5:26:25 PM","3102-H ALPINE DR","          ",1701084.88,1146603.63,LARCENY,2018003757,"40W ",Monday,17
2018069696,"4/9/2018 5:17:36 PM","RANGE LINE ST/ROGERS ST","          ",1690225.38,1137180.75,"PEACE DISTURBANCE",,"20E ",Monday,17
2018069688,"4/9/2018 5:09:07 PM","2417 QUAIL DR","          ",1697125.13,1142318.75,"TRAFFIC HAZARD",,"40W ",Monday,17
2018069687,"4/9/2018 5:06:55 PM","3100-B W BROADWAY","          ",1673502,1136012,FRAUD,2018003753,"50W ",Monday,17
2018069686,"4/9/2018 5:05:22 PM","4803 JOHN GARRY DR","          ",1685511.88,1115743.25,"LEAVING THE SCENE ACCIDENT",2018003749,"60W ",Monday,17
2018069683,"4/9/2018 5:00:51 PM","1703 W WORLEY ST","          ",1679081,1138807,"LAW ALARM",,"10W ",Monday,17
2018069679,"4/9/2018 4:52:27 PM","4916-17 BROWN STATION RD","          ",1701969,1153635.13,HARASSMENT,,"30N ",Monday,16
2018069678,"4/9/2018 4:51:24 PM","1301-H VANDIVER DR","          ",1691332.63,1142813,ACCIDENT,,"30S ",Monday,16
2018069676,"4/9/2018 4:50:10 PM","3216 CLARK LN","          ",1700413.63,1139453.5,ACCIDENT,2018003743,"40W ",Monday,16
2018069665,"4/9/2018 4:30:25 PM","2100-BLK AMMONETTE ST","          ",1695195.38,1139398.88,"911 CHECKS",,"80N ",Monday,16
2018069663,"4/9/2018 4:28:33 PM","610 WASHINGTON AVE","          ",1688375.75,1138030.25,"TRAFFIC STOP",,"20E ",Monday,16
2018069660,"4/9/2018 4:26:01 PM","1903 N PROVIDENCE RD","          ",1687447.25,1143063.75,"SUSPICIOUS PERSON",,"10E ",Monday,16
2018069654,"4/9/2018 4:18:04 PM","N HWY 63 NB/VANDIVER DR OFFR NB","          ",1702016.25,1144234.38,"LEAVING THE SCENE ACCIDENT",2018003755,"40W ",Monday,16
2018069649,"4/9/2018 4:10:28 PM","1010 E GREEN MEADOWS RD","          ",1689297.75,1120637.63,ACCIDENT,,"60E ",Monday,16
2018069648,"4/9/2018 4:08:47 PM","2904-42 RANGE LINE ST","          ",1690002.75,1146097.38,ASSAULT,2018003747,"30S ",Monday,16
2018069647,"4/9/2018 4:08:32 PM","126 N TENTH ST","          ",1689828.88,1136060,TRESPASSING,,"70D ",Monday,16
2018069635,"4/9/2018 3:55:04 PM","300 DIEGO DR","          ",1684794.25,1119513,ACCIDENT,,"60W ",Monday,15
2018069633,"4/9/2018 3:53:04 PM","1201-A GRINDSTONE PKWY","          ",1690399.25,1121329.75,"SUSPICIOUS INCIDENT",,"60E ",Monday,15
2018069632,"4/9/2018 3:51:05 PM","1001 W WORLEY ST","          ",1682141.38,1138471.25,TRESPASSING,,"20W ",Monday,15
2018069631,"4/9/2018 3:49:41 PM","405 HICKMAN AVE","          ",1688079.75,1137823.13,DISTURBANCE,,"20E ",Monday,15
2018069630,"4/9/2018 3:48:49 PM","900-BLK E BUSINESS LOOP 70","          ",1689851.13,1139930.38,"PEACE DISTURBANCE",,"20E ",Monday,15
2018069628,"4/9/2018 3:43:45 PM","MEXICO GRAVEL RD/FAIR HAVEN DR","          ",1700109.38,1145651.13,"SUSPICIOUS VEHICLE",,"40W ",Monday,15
2018069627,"4/9/2018 3:41:50 PM","1600 E BROADWAY","          ",1692801.13,1134744.75,"911 CHECKS",,"70  ",Monday,15
2018069626,"4/9/2018 3:39:59 PM","214-14 N OLD 63","          ",1694316.25,1136332.25,"911 CHECKS",,"80N ",Monday,15
2018069621,"4/9/2018 3:32:21 PM","3340 VANDIVER DR","          ",1700798.38,1144113,LARCENY,,"40W ",Monday,15
2018069619,"4/9/2018 3:30:56 PM","S HWY 63 NB/E STADIUM BLVD ONR NB","          ",1698898.13,1130377,"TRAFFIC HAZARD",,"80S ",Monday,15
2018069618,"4/9/2018 3:30:28 PM","1912 BOYD LN","          ",1705482.88,1142677.75,"AUTO THEFT",2018003738,"40E ",Monday,15
2018069616,"4/9/2018 3:21:03 PM","N HWY 763/E BROWN SCHOOL RD","          ",1690600.75,1153319.5,"STALLED VEHICLE",,"110 ",Monday,15
2018069615,"4/9/2018 3:15:19 PM","1611 OLYMPIC BLVD","          ",1703433.5,1141415.38,"AUTO THEFT",,"40E ",Monday,15
2018069611,"4/9/2018 3:10:24 PM","SCOTT BLVD/RAINBOW TROUT DR","          ",1669151.88,1132800.13,"TRAFFIC STOP",2018003739,"50W ",Monday,15
2018069603,"4/9/2018 2:59:41 PM","GRAY OAK DR/E GREEN MEADOWS RD","          ",1689792.5,1121368.75,"911 CHECKS",,"60E ",Monday,14
2018069602,"4/9/2018 2:59:32 PM","227 N STADIUM BLVD","          ",1676022.75,1138706.75,LARCENY,2018003736,"50E ",Monday,14
2018069600,"4/9/2018 2:55:29 PM","1405 RICHARDSON ST","          ",1691790.25,1136700.25,FRAUD,,"70  ",Monday,14
2018069599,"4/9/2018 2:54:20 PM","1180 VANDIVER DR","          ",1690818.88,1142080.63,"SUSPICIOUS PERSON",,"30S ",Monday,14
2018069597,"4/9/2018 2:51:59 PM","1410 HINKSON AVE","          ",1691878.25,1137142.13,LARCENY,2018003742,"70  ",Monday,14
2018069595,"4/9/2018 2:46:27 PM","4105 W VAWTER SCHOOL RD","          ",1669365.38,1121325.25,"TRAFFIC STOP",,"60W ",Monday,14
2018069594,"4/9/2018 2:43:34 PM","3405 OAKLAND PL","          ",1695928,1147431,LARCENY,2018003734,"30S ",Monday,14
2018069589,"4/9/2018 2:36:51 PM","GREENBRIAR DR/HOLLY RIDGE LN","          ",1685131,1123604.38,"911 CHECKS",,"60E ",Monday,14
2018069586,"4/9/2018 2:34:15 PM","1908 IRIS DR","          ",1675361.5,1144096.5,"SUSPICIOUS INCIDENT",,"10W ",Monday,14
2018069585,"4/9/2018 2:33:59 PM","E BROADWAY/N TENTH ST","          ",1689743.13,1135382,"TRAFFIC STOP",,"70D ",Monday,14
2018069584,"4/9/2018 2:33:11 PM","5500-BLK PRAIRIE ROSE CT","          ",1710504.38,1147947.63,"ABANDONED  VEHICLE",,"40E ",Monday,14
2018069579,"4/9/2018 2:25:42 PM","N STADIUM BLVD/ROSE DR","          ",1674918.88,1146717,ACCIDENT,,"10W ",Monday,14
2018069578,"4/9/2018 2:25:26 PM","110 COPPER MOUNTAIN DR","          ",1687577.63,1155927.13,"911 CHECKS",,"10E ",Monday,14
2018069577,"4/9/2018 2:25:06 PM","E WALNUT ST/N ANN ST","          ",1693192.5,1135711.75,"TRAFFIC STOP",,"70  ",Monday,14
2018069574,"4/9/2018 2:21:06 PM","4201 SPRING CRESS DR","          ",1710805.5,1150556.75,"ABANDONED  VEHICLE",,"40E ",Monday,14
2018069573,"4/9/2018 2:18:51 PM","2604 N STADIUM BLVD","          ",1675917.38,1146709.88,"911 CHECKS",,"10W ",Monday,14
2018069571,"4/9/2018 2:17:46 PM","SCOTT BLVD/SUSSEX DR","          ",1669051.38,1133556.13,"TRAFFIC STOP",,"50W ",Monday,14
2018069570,"4/9/2018 2:17:15 PM","511 E WALNUT ST","          ",1688375.25,1135893.13,"SUSPICIOUS PERSON",,"70D ",Monday,14
2018069569,"4/9/2018 2:17:11 PM","509 JACKSON ST","          ",1684593.38,1139793.88,FRAUD,2018003744,"20W ",Monday,14
2018069568,"4/9/2018 2:15:16 PM","6 GRANADA BLVD","          ",1686080.13,1120250.88,"ABANDONED  VEHICLE",,"60W ",Monday,14
2018069565,"4/9/2018 2:12:28 PM","ROCK QUARRY RD/HINKSON CREEK TRL","          ",1690558,1127761.25,"TRAFFIC STOP",,"80S ",Monday,14
2018069563,"4/9/2018 2:08:16 PM","1900 E BUSINESS LOOP 70","          ",1694595.38,1139535.88,"TRAFFIC STOP",,"40W ",Monday,14
2018069562,"4/9/2018 2:08:11 PM","N PROVIDENCE RD/E TEXAS AVE","          ",1687688.63,1142156.88,"LEAVING THE SCENE ACCIDENT",2018003735,"10E ",Monday,14
2018069559,"4/9/2018 2:06:56 PM","1718 CLIFF DR","          ",1693583.38,1133797.25,"PARKING VIOLATION",,"70  ",Monday,14
2018069558,"4/9/2018 2:06:53 PM","1820 MCKEE ST","          ",1706109.88,1142358.13,"911 CHECKS",,"40E ",Monday,14
2018069554,"4/9/2018 2:02:21 PM","1001-204 UNIVERSITY AVE","          ",1689862.5,1133627,HARASSMENT,,"70  ",Monday,14
2018069553,"4/9/2018 1:57:50 PM","3716 LUPINE DR","          ",1695296.25,1119575.5,"ABANDONED  VEHICLE",,"60E ",Monday,13
2018069551,"4/9/2018 1:55:16 PM","400 N STADIUM BLVD","          ",1677191.38,1138572,TRESPASSING,,"50E ",Monday,13
2018069547,"4/9/2018 1:47:27 PM","7007 MADISON CREEK DR","          ",1673906.5,1107005,"ASSIST OTHER AGENCY",2018003732,"60W ",Monday,13
2018069541,"4/9/2018 1:41:23 PM","E STADIUM BLVD/MICK DEAVER DR","          ",1688468.25,1129849.13,"SUSPICIOUS VEHICLE",,MUG1,Monday,13
2018069540,"4/9/2018 1:40:13 PM","ROCK QUARRY RD/STAGS WAY","          ",1692431,1124327.13,"TRAFFIC STOP",,"80S ",Monday,13
2018069536,"4/9/2018 1:33:14 PM","34 BROADWAY VILLAGE DR","          ",1696706.25,1132697.25,VANDALISM,2018003731,"80S ",Monday,13
2018069535,"4/9/2018 1:29:14 PM","2507 NORTHAMPTON DR","          ",1696756.75,1121271.75,"LEAVING THE SCENE ACCIDENT",2018003733,"80S ",Monday,13
2018069533,"4/9/2018 1:26:48 PM","TURNER AVE/S FOURTH ST","          ",1687674.38,1132598.38,"TRAFFIC STOP",,MUG1,Monday,13
2018069531,"4/9/2018 1:25:32 PM","2910-101 TRIMBLE RD","          ",1698755.13,1133927.38,"911 CHECKS",,"80N ",Monday,13
2018069528,"4/9/2018 1:21:10 PM","ROCK QUARRY RD/ROLLING ROCK DR","          ",1692438,1123986.25,"TRAFFIC STOP",,"80S ",Monday,13
2018069521,"4/9/2018 1:11:12 PM","I70 E/CONNECTOR OFFR EB","          ",1698522.5,1139232.25,TRAFFIC,,"40W ",Monday,13
2018069519,"4/9/2018 1:09:44 PM","1203-A ELLETA BLVD","          ",1691087,1144090.88,HARASSMENT,,"30S ",Monday,13
2018069518,"4/9/2018 1:08:20 PM","2716-8 PARIS RD","          ",1698743.5,1145334.63,HARASSMENT,,"40W ",Monday,13
2018069516,"4/9/2018 1:07:19 PM","2208 GARNET DR","          ",1694026.88,1143476.63,"PARKING VIOLATION",,"30S ",Monday,13
2018069515,"4/9/2018 1:07:15 PM","WAR ADMIRAL DR/DERBY RIDGE DR","          ",1691752.38,1148163,"STALLED VEHICLE",,"30S ",Monday,13
2018069514,"4/9/2018 1:06:20 PM","3110 CLARK LN","          ",1699900.25,1139686.75,"TRAFFIC STOP",,"40W ",Monday,13
2018069511,"4/9/2018 1:00:32 PM","1509 OLYMPIC BLVD","          ",1703469.5,1140855.5,"PARKING VIOLATION",,"40E ",Monday,13
2018069509,"4/9/2018 12:59:27 PM","2400-A BERNADETTE DR","          ",1675190.75,1139969.13,"911 CHECKS",,"10W ",Monday,12
2018069508,"4/9/2018 12:58:25 PM","4114 BLACK TAIL DR","          ",1711143.5,1150257.5,"ABANDONED  VEHICLE",,"40E ",Monday,12
2018069504,"4/9/2018 12:54:29 PM","1400-BLK FOX RUN DR","          ",1704326.13,1140395.38,"911 CHECKS",,"40E ",Monday,12
2018069501,"4/9/2018 12:49:04 PM","2215 MARICOPA DR","          ",1695644.38,1120980,LARCENY,,"60E ",Monday,12
2018069496,"4/9/2018 12:45:58 PM","W STADIUM BLVD/S WEST BLVD","          ",1682231,1130843.88,"TRAFFIC STOP",,"50E ",Monday,12
2018069495,"4/9/2018 12:45:50 PM","GRINDSTONE PKWY/S HWY 63 SB","          ",1699104.63,1121294,"CHECK TRAFFIC LIGHTS",,"80S ",Monday,12
2018069488,"4/9/2018 12:38:25 PM","ROCK QUARRY RD/HINKSON CREEK TRL","          ",1690558,1127761.25,"TRAFFIC STOP",,"80S ",Monday,12
2018069485,"4/9/2018 12:31:01 PM","WHITE GATE DR/TOWNE DR","          ",1695867,1141433.25,"SUSPICIOUS VEHICLE",,"40W ",Monday,12
2018069480,"4/9/2018 12:28:53 PM","GORDON ST/TAFT ST","          ",1693946.63,1138961.38,"TRAFFIC STOP",,"70  ",Monday,12
2018069477,"4/9/2018 12:28:22 PM","700 E BUSINESS LOOP 70","          ",1689043.38,1139825.25,"ASSIST FIRE",,"20E ",Monday,12
2018069476,"4/9/2018 12:28:13 PM","ROCK QUARRY RD/ROLLING ROCK DR","          ",1692438,1123986.25,"TRAFFIC STOP",,"80S ",Monday,12
2018069473,"4/9/2018 12:24:06 PM","1011-5 QUEEN ANN DR","          ",1695296.25,1129975.88,"CHECK SUBJECT",2018003730,"80S ",Monday,12
2018069471,"4/9/2018 12:22:10 PM","3001-25F S PROVIDENCE RD","          ",1686052.63,1123602.88,VANDALISM,,"60E ",Monday,12
2018069470,"4/9/2018 12:19:15 PM","3922 S PROVIDENCE RD","          ",1687690.75,1119161.88,"TRAFFIC STOP",,"60E ",Monday,12
2018069463,"4/9/2018 12:12:03 PM","601-275 W BUSINESS LOOP 70","          ",1684126.75,1141166.13,"ASSIST MEDICS",,"20W ",Monday,12
2018069461,"4/9/2018 12:11:19 PM","ROCK QUARRY RD/ROLLING ROCK DR","          ",1692438,1123986.25,"TRAFFIC STOP",,"80S ",Monday,12
2018069458,"4/9/2018 12:10:35 PM","1104-HIGH N PROVIDENCE RD","          ",1687865.63,1139405.25,"LAW ALARM",,"20E ",Monday,12
2018069456,"4/9/2018 12:09:44 PM","6600 CASCADES DR","          ",1675713.13,1108849.5,LARCENY,2018003746,"60W ",Monday,12
2018069451,"4/9/2018 12:03:20 PM","308 REEDSPORT RDG","          ",1668185.88,1139083.38,FRAUD,,"50W ",Monday,12
2018069446,"4/9/2018 11:56:16 AM","1100-1208 KENNESAW RIDGE RD","          ",1690987.75,1148413.88,FRAUD,,"30S ",Monday,11
